#
#	Name:             GB12345-80 to Unicode table (complete, hex format)
#	Unicode version:  1.1
#	Table version:    0.0d1
#	Table format:     Format A
#	Date:             6 December 1993
#	Author:           Glenn Adams <glenn@metis.com>
#                     John H. Jenkins <John_Jenkins@taligent.com>
#
#	Copyright (c) 1991-1994 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on magnetic media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Recipient is granted the right to make copies in any form for
#	internal distribution and to freely use the information supplied
#	in the creation of products supporting Unicode.  Unicode, Inc.
#	specifically excludes the right to re-distribute this file directly
#	to third parties or other organizations whether for profit or not.
#
#	General notes:
#
#	This table contains the data Metis and Taligent currently have on how
#       GB12345-90 characters map into Unicode.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the GB12345 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#')
#					The official names for Unicode characters U+4E00
#					to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#					where XXXX is the code point.  Including all these
#					names in this file increases its size substantially
#					and needlessly.  The token "<CJK>" is used for the
#					name of these characters.  If necessary, it can be
#					expanded algorithmically by a parser or editor.
#
#	The entries are in GB12345 order
#
#	The following algorithms can be used to change the hex form
#		of GB12345 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#		To change hex to kuten form, first subtract 0x2020.  Then
#			the high and low bytes correspond to the ku and ten of
#			the kuten form.  For example, 0x2121 -> 0x0101 -> 0101;
#			0x777E -> 0x575E -> 8794
#
#	Any comments or problems, contact <John_Jenkins@taligent.com>
#
#
0x2121	0x3000	# IDEOGRAPHIC SPACE
0x383C	0x8A03	# <CJK>
0x383D	0x9644	# <CJK>
0x383E	0x5A66	# <CJK>
0x383F	0x7E1B	# <CJK>
0x3840	0x5490	# <CJK>
0x3841	0x5676	# <CJK>
0x3842	0x560E	# <CJK>
0x3843	0x8A72	# <CJK>
0x3844	0x6539	# <CJK>
0x3845	0x6982	# <CJK>
0x3846	0x9223	# <CJK>
0x3847	0x84CB	# <CJK>
0x3848	0x6E89	# <CJK>
0x3849	0x5E79	# <CJK>
0x384A	0x7518	# <CJK>
0x384B	0x6746	# <CJK>
0x384C	0x67D1	# <CJK>
0x384D	0x7AFF	# <CJK>
0x384E	0x809D	# <CJK>
0x384F	0x8D95	# <CJK>
0x3850	0x611F	# <CJK>
0x3851	0x79C6	# <CJK>
0x3852	0x6562	# <CJK>
0x3853	0x8D1B	# <CJK>
0x3854	0x5CA1	# <CJK>
0x3855	0x525B	# <CJK>
0x3856	0x92FC	# <CJK>
0x3857	0x7F38	# <CJK>
0x3858	0x809B	# <CJK>
0x3859	0x7DB1	# <CJK>
0x385A	0x5D17	# <CJK>
0x385B	0x6E2F	# <CJK>
0x385C	0x6760	# <CJK>
0x385D	0x7BD9	# <CJK>
0x385E	0x768B	# <CJK>
0x385F	0x9AD8	# <CJK>
0x3860	0x818F	# <CJK>
0x3861	0x7F94	# <CJK>
0x3862	0x7CD5	# <CJK>
0x3863	0x641E	# <CJK>
0x3864	0x93AC	# <CJK>
0x3865	0x7A3F	# <CJK>
0x3866	0x544A	# <CJK>
0x3867	0x54E5	# <CJK>
0x3868	0x6B4C	# <CJK>
0x3869	0x64F1	# <CJK>
0x386A	0x6208	# <CJK>
0x386B	0x9D3F	# <CJK>
0x386C	0x80F3	# <CJK>
0x386D	0x7599	# <CJK>
0x386E	0x5272	# <CJK>
0x386F	0x9769	# <CJK>
0x3870	0x845B	# <CJK>
0x3871	0x683C	# <CJK>
0x3872	0x86E4	# <CJK>
0x3873	0x95A3	# <CJK>
0x3874	0x9694	# <CJK>
0x3875	0x927B	# <CJK>
0x3876	0x500B	# <CJK>
0x3877	0x5404	# <CJK>
0x3878	0x7D66	# <CJK>
0x3879	0x6839	# <CJK>
0x387A	0x8DDF	# <CJK>
0x387B	0x8015	# <CJK>
0x387C	0x66F4	# <CJK>
0x387D	0x5E9A	# <CJK>
0x387E	0x7FB9	# <CJK>
0x3921	0x57C2	# <CJK>
0x3922	0x803F	# <CJK>
0x3923	0x6897	# <CJK>
0x3924	0x5DE5	# <CJK>
0x3925	0x653B	# <CJK>
0x3926	0x529F	# <CJK>
0x3927	0x606D	# <CJK>
0x3928	0x9F94	# <CJK>
0x3929	0x4F9B	# <CJK>
0x392A	0x8EAC	# <CJK>
0x392B	0x516C	# <CJK>
0x392C	0x5BAB	# <CJK>
0x392D	0x5F13	# <CJK>
0x392E	0x978F	# <CJK>
0x392F	0x6C5E	# <CJK>
0x3930	0x62F1	# <CJK>
0x3931	0x8CA2	# <CJK>
0x3932	0x5171	# <CJK>
0x3933	0x920E	# <CJK>
0x3934	0x52FE	# <CJK>
0x3935	0x6E9D	# <CJK>
0x3936	0x82DF	# <CJK>
0x3937	0x72D7	# <CJK>
0x3938	0x57A2	# <CJK>
0x3939	0x69CB	# <CJK>
0x393A	0x8CFC	# <CJK>
0x393B	0x591F	# <CJK>
0x393C	0x8F9C	# <CJK>
0x393D	0x83C7	# <CJK>
0x393E	0x5495	# <CJK>
0x393F	0x7B8D	# <CJK>
0x3940	0x4F30	# <CJK>
0x3941	0x6CBD	# <CJK>
0x3942	0x5B64	# <CJK>
0x3943	0x59D1	# <CJK>
0x3944	0x9F13	# <CJK>
0x3945	0x53E4	# <CJK>
0x3946	0x8831	# <CJK>
0x3947	0x9AA8	# <CJK>
0x3948	0x8C37	# <CJK>
0x3949	0x80A1	# <CJK>
0x394A	0x6545	# <CJK>
0x394B	0x9867	# <CJK>
0x394C	0x56FA	# <CJK>
0x394D	0x96C7	# <CJK>
0x394E	0x522E	# <CJK>
0x394F	0x74DC	# <CJK>
0x3950	0x526E	# <CJK>
0x3951	0x5BE1	# <CJK>
0x3952	0x6302	# <CJK>
0x3953	0x8902	# <CJK>
0x3954	0x4E56	# <CJK>
0x3955	0x62D0	# <CJK>
0x3956	0x602A	# <CJK>
0x3957	0x68FA	# <CJK>
0x3958	0x95DC	# <CJK>
0x3959	0x5B98	# <CJK>
0x395A	0x51A0	# <CJK>
0x395B	0x89C0	# <CJK>
0x395C	0x7BA1	# <CJK>
0x395D	0x9928	# <CJK>
0x395E	0x7F50	# <CJK>
0x395F	0x6163	# <CJK>
0x3960	0x704C	# <CJK>
0x3961	0x8CAB	# <CJK>
0x3962	0x5149	# <CJK>
0x3963	0x5EE3	# <CJK>
0x3964	0x901B	# <CJK>
0x3965	0x7470	# <CJK>
0x3966	0x898F	# <CJK>
0x3967	0x572D	# <CJK>
0x3968	0x7845	# <CJK>
0x3969	0x6B78	# <CJK>
0x396A	0x9F9C	# <CJK>
0x396B	0x95A8	# <CJK>
0x396C	0x8ECC	# <CJK>
0x396D	0x9B3C	# <CJK>
0x396E	0x8A6D	# <CJK>
0x396F	0x7678	# <CJK>
0x3970	0x6842	# <CJK>
0x3971	0x6AC3	# <CJK>
0x3972	0x8DEA	# <CJK>
0x3973	0x8CB4	# <CJK>
0x3974	0x528A	# <CJK>
0x3975	0x8F25	# <CJK>
0x3976	0x6EDA	# <CJK>
0x3977	0x68CD	# <CJK>
0x3978	0x934B	# <CJK>
0x3979	0x90ED	# <CJK>
0x397A	0x570B	# <CJK>
0x397B	0x679C	# <CJK>
0x397C	0x88F9	# <CJK>
0x397D	0x904E	# <CJK>
0x397E	0x54C8	# <CJK>
0x3A21	0x9AB8	# <CJK>
0x3A22	0x5B69	# <CJK>
0x3A23	0x6D77	# <CJK>
0x3A24	0x6C26	# <CJK>
0x3A25	0x4EA5	# <CJK>
0x3A26	0x5BB3	# <CJK>
0x3A27	0x99ED	# <CJK>
0x3A28	0x9163	# <CJK>
0x3A29	0x61A8	# <CJK>
0x3A2A	0x90AF	# <CJK>
0x3A2B	0x97D3	# <CJK>
0x3A2C	0x542B	# <CJK>
0x3A2D	0x6DB5	# <CJK>
0x3A2E	0x5BD2	# <CJK>
0x3A2F	0x51FD	# <CJK>
0x3A30	0x558A	# <CJK>
0x3A31	0x7F55	# <CJK>
0x3A32	0x7FF0	# <CJK>
0x3A33	0x64BC	# <CJK>
0x3A34	0x634D	# <CJK>
0x3A35	0x65F1	# <CJK>
0x3A36	0x61BE	# <CJK>
0x3A37	0x608D	# <CJK>
0x3A38	0x710A	# <CJK>
0x3A39	0x6C57	# <CJK>
0x3A3A	0x6F22	# <CJK>
0x3A3B	0x592F	# <CJK>
0x3A3C	0x676D	# <CJK>
0x3A3D	0x822A	# <CJK>
0x3A3E	0x58D5	# <CJK>
0x3A3F	0x568E	# <CJK>
0x3A40	0x8C6A	# <CJK>
0x3A41	0x6BEB	# <CJK>
0x3A42	0x90DD	# <CJK>
0x3A43	0x597D	# <CJK>
0x3A44	0x8017	# <CJK>
0x3A45	0x865F	# <CJK>
0x3A46	0x6D69	# <CJK>
0x3A47	0x5475	# <CJK>
0x3A48	0x559D	# <CJK>
0x3A49	0x8377	# <CJK>
0x3A4A	0x83CF	# <CJK>
0x3A4B	0x6838	# <CJK>
0x3A4C	0x79BE	# <CJK>
0x3A4D	0x548C	# <CJK>
0x3A4E	0x4F55	# <CJK>
0x3A4F	0x5408	# <CJK>
0x3A50	0x76D2	# <CJK>
0x3A51	0x8C89	# <CJK>
0x3A52	0x95A1	# <CJK>
0x3A53	0x6CB3	# <CJK>
0x3A54	0x6DB8	# <CJK>
0x3A55	0x8D6B	# <CJK>
0x3A56	0x8910	# <CJK>
0x3A57	0x9DB4	# <CJK>
0x3A58	0x8CC0	# <CJK>
0x3A59	0x563F	# <CJK>
0x3A5A	0x9ED1	# <CJK>
0x3A5B	0x75D5	# <CJK>
0x3A5C	0x5F88	# <CJK>
0x3A5D	0x72E0	# <CJK>
0x3A5E	0x6068	# <CJK>
0x3A5F	0x54FC	# <CJK>
0x3A60	0x4EA8	# <CJK>
0x3A61	0x6A2A	# <CJK>
0x3A62	0x8861	# <CJK>
0x3A63	0x6052	# <CJK>
0x3A64	0x8F5F	# <CJK>
0x3A65	0x54C4	# <CJK>
0x3A66	0x70D8	# <CJK>
0x3A67	0x8679	# <CJK>
0x3A68	0x9D3B	# <CJK>
0x3A69	0x6D2A	# <CJK>
0x3A6A	0x5B8F	# <CJK>
0x3A6B	0x5F18	# <CJK>
0x3A6C	0x7D05	# <CJK>
0x3A6D	0x5589	# <CJK>
0x3A6E	0x4FAF	# <CJK>
0x3A6F	0x7334	# <CJK>
0x3A70	0x543C	# <CJK>
0x3A71	0x539A	# <CJK>
0x3A72	0x5019	# <CJK>
0x3A73	0x5F8C	# <CJK>
0x3A74	0x547C	# <CJK>
0x3A75	0x4E4E	# <CJK>
0x3A76	0x5FFD	# <CJK>
0x3A77	0x745A	# <CJK>
0x3A78	0x58FA	# <CJK>
0x3A79	0x846B	# <CJK>
0x3A7A	0x80E1	# <CJK>
0x3A7B	0x8774	# <CJK>
0x3A7C	0x72D0	# <CJK>
0x3A7D	0x7CCA	# <CJK>
0x3A7E	0x6E56	# <CJK>
0x3B21	0x5F27	# <CJK>
0x3B22	0x864E	# <CJK>
0x3B23	0x552C	# <CJK>
0x3B24	0x8B77	# <CJK>
0x3B25	0x4E92	# <CJK>
0x3B26	0x6EEC	# <CJK>
0x3B27	0x6237	# <CJK>
0x3B28	0x82B1	# <CJK>
0x3B29	0x5629	# <CJK>
0x3B2A	0x83EF	# <CJK>
0x3B2B	0x733E	# <CJK>
0x3B2C	0x6ED1	# <CJK>
0x3B2D	0x756B	# <CJK>
0x3B2E	0x5283	# <CJK>
0x3B2F	0x5316	# <CJK>
0x3B30	0x8A71	# <CJK>
0x3B31	0x69D0	# <CJK>
0x3B32	0x5F8A	# <CJK>
0x3B33	0x61F7	# <CJK>
0x3B34	0x6DEE	# <CJK>
0x3B35	0x58DE	# <CJK>
0x3B36	0x6B61	# <CJK>
0x3B37	0x74B0	# <CJK>
0x3B38	0x6853	# <CJK>
0x3B39	0x9084	# <CJK>
0x3B3A	0x7DE9	# <CJK>
0x3B3B	0x63DB	# <CJK>
0x3B3C	0x60A3	# <CJK>
0x3B3D	0x559A	# <CJK>
0x3B3E	0x7613	# <CJK>
0x3B3F	0x8C62	# <CJK>
0x3B40	0x7165	# <CJK>
0x3B41	0x6E19	# <CJK>
0x3B42	0x5BA6	# <CJK>
0x3B43	0x5E7B	# <CJK>
0x3B44	0x8352	# <CJK>
0x3B45	0x614C	# <CJK>
0x3B46	0x9EC4	# <CJK>
0x3B47	0x78FA	# <CJK>
0x3B48	0x8757	# <CJK>
0x3B49	0x7C27	# <CJK>
0x3B4A	0x7687	# <CJK>
0x3B4B	0x51F0	# <CJK>
0x3B4C	0x60F6	# <CJK>
0x3B4D	0x714C	# <CJK>
0x3B4E	0x6643	# <CJK>
0x3B4F	0x5E4C	# <CJK>
0x3B50	0x604D	# <CJK>
0x3B51	0x8B0A	# <CJK>
0x3B52	0x7070	# <CJK>
0x3B53	0x63EE	# <CJK>
0x3B54	0x8F1D	# <CJK>
0x3B55	0x5FBD	# <CJK>
0x3B56	0x6062	# <CJK>
0x3B57	0x86D4	# <CJK>
0x3B58	0x56DE	# <CJK>
0x3B59	0x6BC1	# <CJK>
0x3B5A	0x6094	# <CJK>
0x3B5B	0x6167	# <CJK>
0x3B5C	0x5349	# <CJK>
0x3B5D	0x60E0	# <CJK>
0x3B5E	0x6666	# <CJK>
0x3B5F	0x8CC4	# <CJK>
0x3B60	0x7A62	# <CJK>
0x3B61	0x6703	# <CJK>
0x3B62	0x71F4	# <CJK>
0x3B63	0x532F	# <CJK>
0x3B64	0x8AF1	# <CJK>
0x3B65	0x8AA8	# <CJK>
0x3B66	0x7E6A	# <CJK>
0x3B67	0x8477	# <CJK>
0x3B68	0x660F	# <CJK>
0x3B69	0x5A5A	# <CJK>
0x3B6A	0x9B42	# <CJK>
0x3B6B	0x6E3E	# <CJK>
0x3B6C	0x6DF7	# <CJK>
0x3B6D	0x8C41	# <CJK>
0x3B6E	0x6D3B	# <CJK>
0x3B6F	0x4F19	# <CJK>
0x3B70	0x706B	# <CJK>
0x3B71	0x7372	# <CJK>
0x3B72	0x6216	# <CJK>
0x3B73	0x60D1	# <CJK>
0x3B74	0x970D	# <CJK>
0x3B75	0x8CA8	# <CJK>
0x3B76	0x798D	# <CJK>
0x3B77	0x64CA	# <CJK>
0x3B78	0x573E	# <CJK>
0x3B79	0x57FA	# <CJK>
0x3B7A	0x6A5F	# <CJK>
0x3B7B	0x7578	# <CJK>
0x3B7C	0x7A3D	# <CJK>
0x3B7D	0x7A4D	# <CJK>
0x3B7E	0x7B95	# <CJK>
0x3C21	0x808C	# <CJK>
0x3C22	0x9951	# <CJK>
0x3C23	0x8FF9	# <CJK>
0x3C24	0x6FC0	# <CJK>
0x3C25	0x8B4F	# <CJK>
0x3C26	0x9DC4	# <CJK>
0x3C27	0x59EC	# <CJK>
0x3C28	0x7E3E	# <CJK>
0x3C29	0x7DDD	# <CJK>
0x3C2A	0x5409	# <CJK>
0x3C2B	0x6975	# <CJK>
0x3C2C	0x68D8	# <CJK>
0x3C2D	0x8F2F	# <CJK>
0x3C2E	0x7C4D	# <CJK>
0x3C2F	0x96C6	# <CJK>
0x3C30	0x53CA	# <CJK>
0x3C31	0x6025	# <CJK>
0x3C32	0x75BE	# <CJK>
0x3C33	0x6C72	# <CJK>
0x3C34	0x5373	# <CJK>
0x3C35	0x5AC9	# <CJK>
0x3C36	0x7D1A	# <CJK>
0x3C37	0x64E0	# <CJK>
0x3C38	0x5E7E	# <CJK>
0x3C39	0x810A	# <CJK>
0x3C3A	0x5DF1	# <CJK>
0x3C3B	0x858A	# <CJK>
0x3C3C	0x6280	# <CJK>
0x3C3D	0x5180	# <CJK>
0x3C3E	0x5B63	# <CJK>
0x3C3F	0x4F0E	# <CJK>
0x3C40	0x796D	# <CJK>
0x3C41	0x5291	# <CJK>
0x3C42	0x60B8	# <CJK>
0x3C43	0x6FDF	# <CJK>
0x3C44	0x5BC4	# <CJK>
0x3C45	0x5BC2	# <CJK>
0x3C46	0x8A08	# <CJK>
0x3C47	0x8A18	# <CJK>
0x3C48	0x65E2	# <CJK>
0x3C49	0x5FCC	# <CJK>
0x3C4A	0x969B	# <CJK>
0x3C4B	0x5993	# <CJK>
0x3C4C	0x7E7C	# <CJK>
0x3C4D	0x7D00	# <CJK>
0x3C4E	0x5609	# <CJK>
0x3C4F	0x67B7	# <CJK>
0x3C50	0x593E	# <CJK>
0x3C51	0x4F73	# <CJK>
0x3C52	0x5BB6	# <CJK>
0x3C53	0x52A0	# <CJK>
0x3C54	0x83A2	# <CJK>
0x3C55	0x9830	# <CJK>
0x3C56	0x8CC8	# <CJK>
0x3C57	0x7532	# <CJK>
0x3C58	0x9240	# <CJK>
0x3C59	0x5047	# <CJK>
0x3C5A	0x7A3C	# <CJK>
0x3C5B	0x50F9	# <CJK>
0x3C5C	0x67B6	# <CJK>
0x3C5D	0x99D5	# <CJK>
0x3C5E	0x5AC1	# <CJK>
0x3C5F	0x6BB2	# <CJK>
0x3C60	0x76E3	# <CJK>
0x3C61	0x5805	# <CJK>
0x3C62	0x5C16	# <CJK>
0x3C63	0x7B8B	# <CJK>
0x3C64	0x9593	# <CJK>
0x3C65	0x714E	# <CJK>
0x3C66	0x517C	# <CJK>
0x3C67	0x80A9	# <CJK>
0x3C68	0x8271	# <CJK>
0x3C69	0x5978	# <CJK>
0x3C6A	0x7DD8	# <CJK>
0x3C6B	0x7E6D	# <CJK>
0x3C6C	0x6AA2	# <CJK>
0x3C6D	0x67EC	# <CJK>
0x3C6E	0x78B1	# <CJK>
0x3C6F	0x9E7C	# <CJK>
0x3C70	0x63C0	# <CJK>
0x3C71	0x64BF	# <CJK>
0x3C72	0x7C21	# <CJK>
0x3C73	0x5109	# <CJK>
0x3C74	0x526A	# <CJK>
0x3C75	0x51CF	# <CJK>
0x3C76	0x85A6	# <CJK>
0x3C77	0x6ABB	# <CJK>
0x3C78	0x9452	# <CJK>
0x3C79	0x8E10	# <CJK>
0x3C7A	0x8CE4	# <CJK>
0x3C7B	0x898B	# <CJK>
0x3C7C	0x9375	# <CJK>
0x3C7D	0x7BAD	# <CJK>
0x3C7E	0x4EF6	# <CJK>
0x3D21	0x5065	# <CJK>
0x3D22	0x8266	# <CJK>
0x3D23	0x528D	# <CJK>
0x3D24	0x991E	# <CJK>
0x3D25	0x6F38	# <CJK>
0x3D26	0x6FFA	# <CJK>
0x3D27	0x6F97	# <CJK>
0x3D28	0x5EFA	# <CJK>
0x3D29	0x50F5	# <CJK>
0x3D2A	0x59DC	# <CJK>
0x3D2B	0x5C07	# <CJK>
0x3D2C	0x6F3F	# <CJK>
0x3D2D	0x6C5F	# <CJK>
0x3D2E	0x7586	# <CJK>
0x3D2F	0x8523	# <CJK>
0x3D30	0x69F3	# <CJK>
0x3D31	0x596C	# <CJK>
0x3D32	0x8B1B	# <CJK>
0x3D33	0x5320	# <CJK>
0x3D34	0x91AC	# <CJK>
0x3D35	0x964D	# <CJK>
0x3D36	0x8549	# <CJK>
0x3D37	0x6912	# <CJK>
0x3D38	0x7901	# <CJK>
0x3D39	0x7126	# <CJK>
0x3D3A	0x81A0	# <CJK>
0x3D3B	0x4EA4	# <CJK>
0x3D3C	0x90CA	# <CJK>
0x3D3D	0x6F86	# <CJK>
0x3D3E	0x9A55	# <CJK>
0x3D3F	0x5B0C	# <CJK>
0x3D40	0x56BC	# <CJK>
0x3D41	0x652A	# <CJK>
0x3D42	0x9278	# <CJK>
0x3D43	0x77EF	# <CJK>
0x3D44	0x50E5	# <CJK>
0x3D45	0x811A	# <CJK>
0x3D46	0x72E1	# <CJK>
0x3D47	0x89D2	# <CJK>
0x3D48	0x9903	# <CJK>
0x3D49	0x7E73	# <CJK>
0x3D4A	0x7D5E	# <CJK>
0x3D4B	0x527F	# <CJK>
0x3D4C	0x6559	# <CJK>
0x3D4D	0x9175	# <CJK>
0x3D4E	0x8F4E	# <CJK>
0x3D4F	0x8F03	# <CJK>
0x3D50	0x53EB	# <CJK>
0x3D51	0x7A96	# <CJK>
0x3D52	0x63ED	# <CJK>
0x3D53	0x63A5	# <CJK>
0x3D54	0x7686	# <CJK>
0x3D55	0x79F8	# <CJK>
0x3D56	0x8857	# <CJK>
0x3D57	0x968E	# <CJK>
0x3D58	0x622A	# <CJK>
0x3D59	0x52AB	# <CJK>
0x3D5A	0x7BC0	# <CJK>
0x3D5B	0x6854	# <CJK>
0x3D5C	0x6770	# <CJK>
0x3D5D	0x6377	# <CJK>
0x3D5E	0x776B	# <CJK>
0x3D5F	0x7AED	# <CJK>
0x3D60	0x6F54	# <CJK>
0x3D61	0x7D50	# <CJK>
0x3D62	0x89E3	# <CJK>
0x3D63	0x59D0	# <CJK>
0x3D64	0x6212	# <CJK>
0x3D65	0x85C9	# <CJK>
0x3D66	0x82A5	# <CJK>
0x3D67	0x754C	# <CJK>
0x3D68	0x501F	# <CJK>
0x3D69	0x4ECB	# <CJK>
0x3D6A	0x75A5	# <CJK>
0x3D6B	0x8AA1	# <CJK>
0x3D6C	0x5C4A	# <CJK>
0x3D6D	0x5DFE	# <CJK>
0x3D6E	0x7B4B	# <CJK>
0x3D6F	0x65A4	# <CJK>
0x3D70	0x91D1	# <CJK>
0x3D71	0x4ECA	# <CJK>
0x3D72	0x6D25	# <CJK>
0x3D73	0x895F	# <CJK>
0x3D74	0x7DCA	# <CJK>
0x3D75	0x9326	# <CJK>
0x3D76	0x50C5	# <CJK>
0x3D77	0x8B39	# <CJK>
0x3D78	0x9032	# <CJK>
0x3D79	0x9773	# <CJK>
0x3D7A	0x6649	# <CJK>
0x3D7B	0x7981	# <CJK>
0x3D7C	0x8FD1	# <CJK>
0x3D7D	0x71FC	# <CJK>
0x3D7E	0x6D78	# <CJK>
0x3E21	0x76E1	# <CJK>
0x3E22	0x52C1	# <CJK>
0x3E23	0x8346	# <CJK>
0x3E24	0x5162	# <CJK>
0x3E25	0x8396	# <CJK>
0x3E26	0x775B	# <CJK>
0x3E27	0x6676	# <CJK>
0x3E28	0x9BE8	# <CJK>
0x3E29	0x4EAC	# <CJK>
0x3E2A	0x9A5A	# <CJK>
0x3E2B	0x7CBE	# <CJK>
0x3E2C	0x7CB3	# <CJK>
0x3E2D	0x7D93	# <CJK>
0x3E2E	0x4E95	# <CJK>
0x3E2F	0x8B66	# <CJK>
0x3E30	0x666F	# <CJK>
0x3E31	0x9838	# <CJK>
0x3E32	0x975C	# <CJK>
0x3E33	0x5883	# <CJK>
0x3E34	0x656C	# <CJK>
0x3E35	0x93E1	# <CJK>
0x3E36	0x5F91	# <CJK>
0x3E37	0x75D9	# <CJK>
0x3E38	0x9756	# <CJK>
0x3E39	0x7ADF	# <CJK>
0x3E3A	0x7AF6	# <CJK>
0x3E3B	0x51C8	# <CJK>
0x3E3C	0x70AF	# <CJK>
0x3E3D	0x7A98	# <CJK>
0x3E3E	0x63EA	# <CJK>
0x3E3F	0x7A76	# <CJK>
0x3E40	0x7CFE	# <CJK>
0x3E41	0x7396	# <CJK>
0x3E42	0x97ED	# <CJK>
0x3E43	0x4E45	# <CJK>
0x3E44	0x7078	# <CJK>
0x3E45	0x4E5D	# <CJK>
0x3E46	0x9152	# <CJK>
0x3E47	0x53A9	# <CJK>
0x3E48	0x6551	# <CJK>
0x3E49	0x820A	# <CJK>
0x3E4A	0x81FC	# <CJK>
0x3E4B	0x8205	# <CJK>
0x3E4C	0x548E	# <CJK>
0x3E4D	0x5C31	# <CJK>
0x3E4E	0x759A	# <CJK>
0x3E4F	0x97A0	# <CJK>
0x3E50	0x62D8	# <CJK>
0x3E51	0x72D9	# <CJK>
0x3E52	0x75BD	# <CJK>
0x3E53	0x5C45	# <CJK>
0x3E54	0x99D2	# <CJK>
0x3E55	0x83CA	# <CJK>
0x3E56	0x5C40	# <CJK>
0x3E57	0x5480	# <CJK>
0x3E58	0x77E9	# <CJK>
0x3E59	0x8209	# <CJK>
0x3E5A	0x6CAE	# <CJK>
0x3E5B	0x805A	# <CJK>
0x3E5C	0x62D2	# <CJK>
0x3E5D	0x64DA	# <CJK>
0x3E5E	0x5DE8	# <CJK>
0x3E5F	0x5177	# <CJK>
0x3E60	0x8DDD	# <CJK>
0x3E61	0x8E1E	# <CJK>
0x3E62	0x92F8	# <CJK>
0x3E63	0x4FF1	# <CJK>
0x3E64	0x53E5	# <CJK>
0x3E65	0x61FC	# <CJK>
0x3E66	0x70AC	# <CJK>
0x3E67	0x5287	# <CJK>
0x3E68	0x6350	# <CJK>
0x3E69	0x9D51	# <CJK>
0x3E6A	0x5A1F	# <CJK>
0x3E6B	0x5026	# <CJK>
0x3E6C	0x7737	# <CJK>
0x3E6D	0x5377	# <CJK>
0x3E6E	0x7D79	# <CJK>
0x3E6F	0x6485	# <CJK>
0x3E70	0x652B	# <CJK>
0x3E71	0x6289	# <CJK>
0x3E72	0x6398	# <CJK>
0x3E73	0x5014	# <CJK>
0x3E74	0x7235	# <CJK>
0x3E75	0x89BA	# <CJK>
0x3E76	0x51B3	# <CJK>
0x3E77	0x8A23	# <CJK>
0x3E78	0x7D76	# <CJK>
0x3E79	0x5747	# <CJK>
0x3E7A	0x83CC	# <CJK>
0x3E7B	0x921E	# <CJK>
0x3E7C	0x8ECD	# <CJK>
0x3E7D	0x541B	# <CJK>
0x3E7E	0x5CFB	# <CJK>
0x3F21	0x4FCA	# <CJK>
0x3F22	0x7AE3	# <CJK>
0x3F23	0x6D5A	# <CJK>
0x3F24	0x90E1	# <CJK>
0x3F25	0x99FF	# <CJK>
0x3F26	0x5580	# <CJK>
0x3F27	0x5496	# <CJK>
0x3F28	0x5361	# <CJK>
0x3F29	0x54AF	# <CJK>
0x3F2A	0x958B	# <CJK>
0x3F2B	0x63E9	# <CJK>
0x3F2C	0x6977	# <CJK>
0x3F2D	0x51F1	# <CJK>
0x3F2E	0x6168	# <CJK>
0x3F2F	0x520A	# <CJK>
0x3F30	0x582A	# <CJK>
0x3F31	0x52D8	# <CJK>
0x3F32	0x574E	# <CJK>
0x3F33	0x780D	# <CJK>
0x3F34	0x770B	# <CJK>
0x3F35	0x5EB7	# <CJK>
0x3F36	0x6177	# <CJK>
0x3F37	0x7CE0	# <CJK>
0x3F38	0x625B	# <CJK>
0x3F39	0x6297	# <CJK>
0x3F3A	0x4EA2	# <CJK>
0x3F3B	0x7095	# <CJK>
0x3F3C	0x8003	# <CJK>
0x3F3D	0x62F7	# <CJK>
0x3F3E	0x70E4	# <CJK>
0x3F3F	0x9760	# <CJK>
0x3F40	0x5777	# <CJK>
0x3F41	0x82DB	# <CJK>
0x3F42	0x67EF	# <CJK>
0x3F43	0x68F5	# <CJK>
0x3F44	0x78D5	# <CJK>
0x3F45	0x9846	# <CJK>
0x3F46	0x79D1	# <CJK>
0x3F47	0x6BBB	# <CJK>
0x3F48	0x54B3	# <CJK>
0x3F49	0x53EF	# <CJK>
0x3F4A	0x6E34	# <CJK>
0x3F4B	0x514B	# <CJK>
0x3F4C	0x523B	# <CJK>
0x3F4D	0x5BA2	# <CJK>
0x3F4E	0x8AB2	# <CJK>
0x3F4F	0x80AF	# <CJK>
0x3F50	0x5543	# <CJK>
0x3F51	0x58BE	# <CJK>
0x3F52	0x61C7	# <CJK>
0x3F53	0x5751	# <CJK>
0x3F54	0x542D	# <CJK>
0x3F55	0x7A7A	# <CJK>
0x3F56	0x6050	# <CJK>
0x3F57	0x5B54	# <CJK>
0x3F58	0x63A7	# <CJK>
0x3F59	0x6473	# <CJK>
0x3F5A	0x53E3	# <CJK>
